Diqing,"Diqing, China (DIG)",DIG,27.7916667,99.6780556,Asia/Shanghai
Diyarbakir,"Diyarbakir, Turkey (DIY)",DIY,37.8938889,40.2011111,Europe/Istanbul
Djerba,"Djerba Zarsis, Tunisia (DJE)",DJE,33.875,10.7755556,Africa/Tunis
Dnepropetrovsk,"Dnipropetrovsk International, Ukraine (DNK)",DNK,48.3572222,35.1005556,Europe/Kiev
Doha,"Doha International, Qatar (DOH)",DOH,25.2611111,51.565,Asia/Qatar
Dominica,"Dominica Melville Hall, Dominica (DOM)",DOM,15.5469444,-61.3,America/Dominica
Doncaster,"Doncaster/Sheffield Robin Hood, United Kingdom (DSA)",DSA,53.4752778,-1.0038889,Europe/London
Donetsk,"Donetsk International, Ukraine (DOK)",DOK,48.0736111,37.7397222,Europe/Kiev
Dongsheng,"Dongsheng, China (DSN)",DSN,39.8294444,109.975833,Asia/Shanghai
Dortmund,"Dortmund, Germany (DTM)",DTM,51.5183333,7.61222222,Europe/Berlin
Douala,"Douala International, Cameroon (DLA)",DLA,4.00611111,9.71944444,Africa/Douala
Dresden,"Dresden, Germany (DRS)",DRS,51.1344444,13.7680556,Europe/Berlin
Dubai,"Dubai International, United Arab Emirates (DXB)",DXB,25.2527778,55.3644444,Asia/Dubai
Dublin,"Dublin International, Ireland (DUB)",DUB,53.4213889,-6.27,Europe/Dublin
Dubrovnik,"Dubrovnik, Croatia (DBV)",DBV,42.5613889,18.2683333,Europe/Zagreb
Dusseldorf,"Duesseldorf International, Germany (DUS)",DUS,51.2894444,6.76666667,Europe/Berlin
Dunhuang,"Dunhuang, China (DNH)",DNH,40.0922222,94.6816667,Asia/Shanghai
Durango,"Durango Guadalupe Victoria, Mexico (DGO)",DGO,24.1241667,-104.52806,America/Cancun
Durban,"Durban King Shaka International, South Africa (DUR)",DUR,-29.614444,31.1163889,Africa/Johannesburg
Dushanbe,"Dushanbe, Tajikistan (DYU)",DYU,38.5433333,68.825,Asia/Dushanbe
Dutch Harbor,"Dutch Harbor Emergency Field, AK (DUT)",DUT,53.8333333,-166.54361,America/Anchorage
Dzaoudzi,"Dzaoudzi Pamandzi International, Mayotte (DZA)",DZA,-12.806667,45.2805556,Indian/Mayotte
Eagle River,"Eagle River, WI (EGV)",EGV,45.9333333,-89.266667,America/Chicago
Eagle,"Eagle, AK (EAA)",EAA,64.7763889,-141.15083,America/Anchorage
East London,"East London, South Africa (ELS)",ELS,-33.035556,27.8258333,Africa/Johannesburg
East Main,"East Main, QC",ZEM,52.1666667,-78.5,America/Montreal
Eastsound,"Eastsound Orcas Island, WA (ESD)",ESD,48.7166667,-122.81667,America/Los_Angeles
Eau Claire,"Eau Claire, WI (EAU)",EAU,44.8658333,-91.484167,America/Chicago
Edinburgh,"Edinburgh, United Kingdom (EDI)",EDI,55.95,-3.3725,Europe/London
Edmonton,"Edmonton International, AB",YEG,53.3097222,-113.57972,America/Edmonton
Edna Bay,"Edna Bay, AK (EDA)",EDA,55.95,-133.66667,America/Anchorage
Edremit/Korfez,"Edremit Korfez, Turkey (EDO)",EDO,39.5547222,27.0138889,Europe/Istanbul
Edward River,"Edward River, Australia (EDR)",EDR,-14.9,141.616667,Australia/Brisbane
Eek,"Eek, AK (EEK)",EEK,60.2166667,-162.01667,America/Anchorage
Egegik,"Egegik, AK (EGX)",EGX,58.1855556,-157.37556,America/Anchorage
Elat,"Eilat, Israel (ETH)",ETH,29.5613889,34.96,Asia/Jerusalem
Eindhoven,"Eindhoven, Netherlands (EIN)",EIN,51.45,5.37444444,Europe/Amsterdam
Imperial,"El Centro Imperial County, CA (IPL)",IPL,32.8361111,-115.56667,America/Los_Angeles
El Dorado,"El Dorado Goodwin Field, AR (ELD)",ELD,33.2211111,-92.813333,America/Chicago
El Fasher,"El Fasher, Sudan (ELF)",ELF,13.615,25.3247222,Africa/Khartoum
El Golea,"El Golea, Algeria (ELG)",ELG,30.5713889,2.85972222,Africa/Algiers
El Oued,"El Oued Guemar, Algeria (ELU)",ELU,33.5113889,6.77666667,Africa/Algiers
El Paso,"El Paso International, TX (ELP)",ELP,31.8072222,-106.3775,America/Denver
El Salvador,"El Salvador, Chile (ESR)",ESR,-26.308333,-69.751667,America/Santiago
Elazig,"Elazig, Turkey (EZS)",EZS,38.6069444,39.2913889,Europe/Istanbul
Elba Island,"Elba Island di Campo, Italy (EBA)",EBA,42.7616667,10.2397222,Europe/Rome
Eldoret,"Eldoret International, Kenya (EDL)",EDL,0.40472222,35.2388889,Africa/Nairobi
Elfin Cove,"Elfin Cove Sea Plane Base, AK (ELV)",ELV,58.1952778,-136.3475,America/Anchorage
Elim,"Elim, AK (ELI)",ELI,64.6166667,-162.26667,America/Anchorage
Elko,"Elko, NV (EKO)",EKO,40.825,-115.79167,America/Los_Angeles
Elmira/Corning,"Elmira/Corning Reg'l, NY (ELM)",ELM,42.16,-76.891667,America/New_York
Ely,"Ely Yelland, NV (ELY)",ELY,39.3,-114.85,America/Los_Angeles
Emae,"Emae, Vanuatu (EAE)",EAE,-17.1,168.333333,Pacific/Efate
Emmonak,"Emmonak, AK (EMK)",EMK,62.7861111,-164.49083,America/Anchorage
Ende,"Ende, Indonesia (ENE)",ENE,-8.8491667,121.660556,Asia/Makassar
Entebbe/Kampala,"Entebbe International, Uganda (EBB)",EBB,0.0425,32.4436111,Africa/Kampala
Enugu,"Enugu Akanu Ibiam International, Nigeria (ENU)",ENU,6.47416667,7.56194444,Africa/Lagos
Erbil,"Erbil International, Iraq (EBL)",EBL,36.2377778,43.9630556,Asia/Baghdad
Ercan,"Ercan, Cyprus (ECN)",ECN,35.1597222,33.4883333,Asia/Nicosia
